DriverNumber,RoundNumber,Position,LastFinish,RollingAverage3,RollingStd3,FastestTime,Delta
1,1,2.0,,2.0,0.0,75.481,0.3849999999999909
1,2,4.0,2.0,2.0,0.0,90.817,0.17599999999998772
1,3,1.0,4.0,3.0,1.4142135623730951,86.983,0.0
1,4,6.0,1.0,2.3333333333333335,1.5275252316519468,90.423,0.5820000000000078
1,5,2.0,6.0,3.6666666666666665,2.516611478423583,87.294,0.0
1,6,4.0,2.0,3.0,2.6457513110645907,86.204,0.0
1,7,1.0,4.0,4.0,1.9999999999999998,74.704,0.033999999999991815
1,8,4.0,1.0,2.3333333333333335,1.5275252316519479,70.669,0.7150000000000034
1,9,10.0,4.0,3.0,1.7320508075688776,71.848,0.3019999999999925
1,10,2.0,10.0,5.0,4.582575694955839,71.059,0.1599999999999966
1,11,20.0,2.0,5.333333333333333,4.163331998932264,64.836,0.865000000000002
1,12,5.0,20.0,10.666666666666666,9.018499505645787,84.892,0.0
1,13,4.0,5.0,9.0,9.643650760992955,100.903,0.3410000000000082
1,14,9.0,4.0,9.666666666666666,8.9628864398325,75.547,0.6569999999999965
1,15,2.0,9.0,6.0,2.6457513110645925,68.925,0.262999999999991
1,16,1.0,2.0,5.0,3.605551275463992,78.792,0.0
1,17,1.0,1.0,4.0,4.358898943540677,101.117,0.0
1,18,2.0,1.0,1.3333333333333333,0.5773502691896648,89.34,0.18200000000000216
1,19,1.0,2.0,1.3333333333333333,0.5773502691896648,92.51,0.0
1,20,3.0,1.0,1.3333333333333333,0.5773502691896648,76.07,0.48399999999999466
1,21,3.0,3.0,2.0,1.0000000000000198,70.403,0.8920000000000101
1,22,1.0,3.0,2.3333333333333335,1.1547005383792674,108.257,0.3230000000000075
1,23,1.0,1.0,2.3333333333333335,1.1547005383792674,79.651,0.2639999999999958
1,24,1.0,1.0,1.6666666666666667,1.1547005383792701,82.207,0.0
4,1,1.0,,1.0,0.0,75.096,0.0
4,2,2.0,1.0,1.0,0.0,90.787,0.1460000000000008
4,3,2.0,2.0,1.5,0.7071067811865476,86.995,0.012000000000000455
4,4,3.0,2.0,1.6666666666666667,0.5773502691896257,90.267,0.42600000000000193
4,5,4.0,3.0,2.3333333333333335,0.5773502691896256,87.481,0.1869999999999976
4,6,2.0,4.0,3.0,0.9999999999999999,86.269,0.06500000000001194
4,7,2.0,2.0,3.0,0.9999999999999999,74.962,0.2920000000000016
4,8,1.0,2.0,2.6666666666666665,1.1547005383792515,69.954,0.0
4,9,2.0,1.0,1.6666666666666667,0.5773502691896253,71.755,0.20899999999998897
4,10,18.0,2.0,1.6666666666666667,0.5773502691896253,71.599,0.7000000000000028
4,11,1.0,18.0,7.0,9.539392014169456,63.971,0.0
4,12,1.0,1.0,7.0,9.539392014169456,85.01,0.11800000000000921
4,13,2.0,1.0,6.666666666666667,9.814954576223638,100.562,0.0
4,14,1.0,2.0,1.3333333333333333,0.5773502691896177,74.89,0.0
4,15,18.0,1.0,1.3333333333333333,0.5773502691896177,68.674,0.012000000000000455
4,16,2.0,18.0,7.0,9.539392014169456,78.869,0.07699999999999818
4,17,7.0,2.0,7.0,9.539392014169456,101.322,0.2049999999999983
4,18,3.0,7.0,9.0,8.18535277187245,89.586,0.42799999999999727
4,19,2.0,3.0,4.0,2.6457513110645845,92.801,0.2909999999999968
4,20,1.0,2.0,4.0,2.6457513110645845,75.586,0.0
4,21,1.0,1.0,2.0,0.9999999999999791,69.511,0.0
4,22,20.0,1.0,1.3333333333333333,0.5773502691895865,107.934,0.0
4,23,4.0,20.0,7.333333333333333,10.969655114602888,79.495,0.10800000000000409
4,24,3.0,4.0,8.333333333333334,10.214368964029708,82.408,0.20100000000000762
5,1,20.0,,20.0,0.0,76.516,1.4200000000000017
5,2,14.0,20.0,20.0,0.0,92.141,1.5
5,3,19.0,14.0,17.0,4.242640687119285,88.622,1.6389999999999958
5,4,18.0,19.0,17.666666666666668,3.214550253664318,92.186,2.345000000000013
5,5,18.0,18.0,17.0,2.6457513110645907,89.462,2.1680000000000064
5,6,20.0,18.0,18.333333333333332,0.5773502691896263,87.151,0.9470000000000027
5,7,18.0,20.0,18.666666666666668,1.154700538379251,76.26,1.5900000000000034
5,8,14.0,18.0,18.666666666666668,1.154700538379251,71.902,1.9480000000000075
5,9,12.0,14.0,17.333333333333332,3.0550504633038926,72.756,1.2099999999999937
5,10,14.0,12.0,14.666666666666666,3.0550504633038913,72.385,1.4860000000000042
5,11,8.0,14.0,13.333333333333334,1.1547005383792448,64.846,0.8750000000000071
5,12,20.0,8.0,11.333333333333334,3.0550504633038913,86.446,1.554000000000002
5,13,9.0,20.0,14.0,5.999999999999999,101.336,0.7740000000000009
5,14,6.0,9.0,12.333333333333334,6.658328118479392,75.586,0.695999999999998
5,15,15.0,6.0,11.666666666666666,7.371114795831993,69.622,0.9599999999999937
