,DriverNumber,RoundNumber,FastestTime
0,1,1,0 days 00:01:15.481000
1,4,1,0 days 00:01:15.096000
2,5,1,0 days 00:01:16.516000
3,6,1,0 days 00:01:16.175000
4,7,1,0 days 00:01:16.315000
5,10,1,0 days 00:01:15.980000
6,12,1,0 days 00:01:16.525000
7,14,1,0 days 00:01:16.288000
8,16,1,0 days 00:01:15.755000
9,18,1,0 days 00:01:16.369000
10,22,1,0 days 00:01:15.670000
11,23,1,0 days 00:01:15.737000
12,27,1,0 days 00:01:16.579000
13,30,1,0 days 00:01:17.094000
14,31,1,0 days 00:01:17.147000
15,44,1,0 days 00:01:15.919000
16,55,1,0 days 00:01:15.931000
17,63,1,0 days 00:01:15.546000
18,81,1,0 days 00:01:15.180000
19,1,2,0 days 00:01:30.817000
20,4,2,0 days 00:01:30.787000
21,5,2,0 days 00:01:32.141000
22,6,2,0 days 00:01:31.079000
23,7,2,0 days 00:01:32.092000
24,10,2,0 days 00:01:31.992000
25,12,2,0 days 00:01:31.103000
26,14,2,0 days 00:01:31.688000
27,16,2,0 days 00:01:31.021000
28,18,2,0 days 00:01:31.773000
29,22,2,0 days 00:01:31.238000
30,23,2,0 days 00:01:31.503000
31,27,2,0 days 00:01:31.632000
32,30,2,0 days 00:01:32.174000
33,31,2,0 days 00:01:31.625000
34,44,2,0 days 00:01:30.927000
35,55,2,0 days 00:01:31.628000
36,63,2,0 days 00:01:30.723000
37,81,2,0 days 00:01:30.641000
38,87,2,0 days 00:01:32.018000
39,1,3,0 days 00:01:26.983000
40,4,3,0 days 00:01:26.995000
41,5,3,0 days 00:01:28.622000
42,6,3,0 days 00:01:27.569000
43,7,3,0 days 00:01:28.877000
44,10,3,0 days 00:01:27.822000
45,12,3,0 days 00:01:27.555000
46,14,3,0 days 00:01:27.897000
47,16,3,0 days 00:01:27.299000
48,18,3,0 days 00:01:29.271000
49,22,3,0 days 00:01:27.967000
50,23,3,0 days 00:01:27.615000
51,27,3,0 days 00:01:28.570000
52,30,3,0 days 00:01:27.906000
53,31,3,0 days 00:01:28.696000
54,44,3,0 days 00:01:27.610000
55,55,3,0 days 00:01:27.836000
56,63,3,0 days 00:01:27.318000
57,81,3,0 days 00:01:27.027000
58,87,3,0 days 00:01:27.711000
59,1,4,0 days 00:01:30.423000
60,4,4,0 days 00:01:30.267000
61,5,4,0 days 00:01:32.186000
62,6,4,0 days 00:01:31.271000
63,7,4,0 days 00:01:31.245000
64,10,4,0 days 00:01:30.216000
65,12,4,0 days 00:01:30.213000
66,14,4,0 days 00:01:31.634000
67,16,4,0 days 00:01:30.175000
68,18,4,0 days 00:01:32.283000
69,22,4,0 days 00:01:31.228000
70,23,4,0 days 00:01:32.040000
71,27,4,0 days 00:01:32.067000
72,30,4,0 days 00:01:32.165000
73,31,4,0 days 00:01:31.594000
74,44,4,0 days 00:01:30.772000
75,55,4,0 days 00:01:30.680000
76,63,4,0 days 00:01:30.009000
77,81,4,0 days 00:01:29.841000
78,87,4,0 days 00:01:32.373000
79,1,5,0 days 00:01:27.294000
80,4,5,0 days 00:01:27.481000
81,5,5,0 days 00:01:29.462000
82,6,5,0 days 00:01:28.418000
