DriverNumber,Season,RoundNumber,TeamName,Position,QualiPosition,FastestTime,LastFinish,RollingAverage3,RollingStd3,Delta
1,2022,1,Red Bull Racing,19.0,2.0,90.681,10.0,19.0,0.0,15.584999999999994
3,2022,1,McLaren,14.0,18.0,92.945,10.0,14.0,0.0,17.84899999999999
4,2022,1,McLaren,15.0,13.0,92.008,10.0,15.0,0.0,16.911999999999992
6,2022,1,Williams,16.0,20.0,93.634,10.0,16.0,0.0,18.537999999999997
10,2022,1,AlphaTauri,20.0,10.0,91.635,10.0,20.0,0.0,16.539
11,2022,1,Red Bull Racing,18.0,4.0,90.921,10.0,18.0,0.0,15.825000000000003
14,2022,1,Alpine,9.0,8.0,91.621,10.0,9.0,0.0,16.52499999999999
16,2022,1,Ferrari,1.0,1.0,90.558,10.0,1.0,0.0,15.462000000000003
18,2022,1,Aston Martin,12.0,19.0,93.032,10.0,12.0,0.0,17.935999999999993
20,2022,1,Haas F1 Team,5.0,7.0,91.461,10.0,5.0,0.0,16.364999999999995
22,2022,1,AlphaTauri,8.0,16.0,92.75,10.0,8.0,0.0,17.653999999999996
23,2022,1,Williams,13.0,14.0,92.664,10.0,13.0,0.0,17.567999999999998
24,2022,1,Alfa Romeo,10.0,15.0,92.493,10.0,10.0,0.0,17.39699999999999
27,2022,1,Aston Martin,17.0,17.0,92.777,10.0,17.0,0.0,17.680999999999997
31,2022,1,Alpine,7.0,11.0,91.782,10.0,7.0,0.0,16.685999999999993
44,2022,1,Mercedes,3.0,5.0,91.048,10.0,3.0,0.0,15.951999999999998
47,2022,1,Haas F1 Team,11.0,12.0,91.998,10.0,11.0,0.0,16.902
55,2022,1,Ferrari,2.0,3.0,90.687,10.0,2.0,0.0,15.590999999999994
63,2022,1,Mercedes,4.0,9.0,91.252,10.0,4.0,0.0,16.15599999999999
77,2022,1,Alfa Romeo,6.0,6.0,91.56,10.0,6.0,0.0,16.464
1,2022,2,Red Bull Racing,1.0,4.0,88.461,19.0,1.3333333333333333,0.5773502691896258,0.9890000000000043
3,2022,2,McLaren,20.0,12.0,89.773,14.0,13.5,0.7071067811865476,2.301000000000002
4,2022,2,McLaren,7.0,11.0,89.651,15.0,8.0,8.18535277187245,2.179000000000002
6,2022,2,Williams,20.0,19.0,91.817,16.0,18.0,2.8284271247461903,4.344999999999999
10,2022,2,AlphaTauri,8.0,9.0,89.254,20.0,12.666666666666666,4.725815626252608,1.7820000000000107
11,2022,2,Red Bull Racing,4.0,1.0,88.2,18.0,7.333333333333333,9.237604307034013,0.7280000000000086
14,2022,2,Alpine,20.0,7.0,89.147,9.0,10.666666666666666,8.621678104251709,1.6750000000000114
16,2022,2,Ferrari,2.0,2.0,88.225,1.0,10.666666666666666,8.32666399786453,0.7530000000000001
18,2022,2,Aston Martin,13.0,15.0,90.256,12.0,7.333333333333333,2.309401076758503,2.784000000000006
20,2022,2,Haas F1 Team,9.0,10.0,89.546,5.0,10.0,4.358898943540674,2.0740000000000123
22,2022,2,AlphaTauri,20.0,20.0,,8.0,12.333333333333334,1.5275252316519468,
23,2022,2,Williams,14.0,17.0,90.492,13.0,10.0,5.0,3.0200000000000102
24,2022,2,Alfa Romeo,11.0,13.0,89.819,10.0,12.333333333333334,3.2145502536643185,2.3470000000000084
27,2022,2,Aston Martin,12.0,18.0,90.543,17.0,12.666666666666666,4.932882862316247,3.071000000000012
31,2022,2,Alpine,6.0,5.0,89.068,7.0,16.666666666666668,3.5118845842842474,1.5960000000000036
44,2022,2,Mercedes,10.0,16.0,90.343,3.0,7.333333333333333,2.5166114784235836,2.8710000000000093
47,2022,2,Haas F1 Team,20.0,14.0,89.92,11.0,11.0,0.0,2.4480000000000075
55,2022,2,Ferrari,3.0,3.0,88.402,2.0,9.0,9.539392014169456,0.9300000000000068
63,2022,2,Mercedes,5.0,6.0,89.104,4.0,5.0,2.0,1.632000000000005
77,2022,2,Alfa Romeo,20.0,8.0,89.183,6.0,11.0,7.0,1.7110000000000127
1,2022,3,Red Bull Racing,20.0,2.0,78.154,1.0,2.3333333333333335,1.5275252316519465,2.23899999999999
3,2022,3,McLaren,6.0,7.0,79.032,20.0,16.333333333333332,3.5118845842842465,3.1169999999999902
4,2022,3,McLaren,5.0,4.0,78.703,7.0,9.0,7.549834435270751,2.7879999999999967
5,2022,3,Aston Martin,20.0,18.0,81.149,10.0,17.0,4.242640687119285,5.233999999999995
6,2022,3,Williams,16.0,19.0,81.372,20.0,17.0,5.196152422706631,5.456999999999994
10,2022,3,AlphaTauri,9.0,11.0,79.226,8.0,16.333333333333332,6.3508529610858835,3.310999999999993
11,2022,3,Red Bull Racing,2.0,3.0,78.24,4.0,2.3333333333333335,1.527525231651951,2.3249999999999886
14,2022,3,Alpine,17.0,10.0,78.815,20.0,9.333333333333334,9.29157324317757,2.8999999999999915
16,2022,3,Ferrari,1.0,1.0,77.868,2.0,10.0,8.888194417315589,1.9529999999999887
18,2022,3,Aston Martin,12.0,20.0,,13.0,16.333333333333332,6.350852961085883,
20,2022,3,Haas F1 Team,14.0,17.0,80.254,9.0,10.333333333333334,1.5275252316519472,4.338999999999999
22,2022,3,AlphaTauri,15.0,13.0,79.424,20.0,14.0,2.6457513110645907,3.5090000000000003
23,2022,3,Williams,10.0,16.0,80.135,14.0,12.666666666666666,6.6583281184793925,4.219999999999999
24,2022,3,Alfa Romeo,11.0,14.0,79.91,11.0,14.0,3.6055512754639887,3.9949999999999903
31,2022,3,Alpine,7.0,8.0,79.061,6.0,8.666666666666666,4.041451884327387,3.146000000000001
44,2022,3,Mercedes,4.0,5.0,78.825,10.0,11.333333333333334,7.76745346515403,2.9099999999999966
47,2022,3,Haas F1 Team,13.0,15.0,80.104,20.0,15.5,6.363961030678928,4.188999999999993
55,2022,3,Ferrari,20.0,9.0,78.469,3.0,6.333333333333333,3.5118845842842448,2.553999999999988
63,2022,3,Mercedes,3.0,6.0,78.933,5.0,4.333333333333333,1.5275252316519465,3.0180000000000007
77,2022,3,Alfa Romeo,8.0,12.0,79.251,20.0,18.333333333333332,1.5275252316519485,3.3359999999999985
1,2022,4,Red Bull Racing,1.0,1.0,78.793,20.0,7.333333333333333,10.969655114602892,0.0
3,2022,4,McLaren,18.0,6.0,79.98,6.0,11.333333333333334,5.033222956847167,1.1869999999999976
4,2022,4,McLaren,3.0,3.0,79.294,5.0,3.6666666666666665,2.0816659994661366,0.5009999999999906
5,2022,4,Aston Martin,8.0,9.0,79.957,20.0,17.666666666666668,3.214550253664318,1.1639999999999873
6,2022,4,Williams,16.0,18.0,81.971,16.0,11.666666666666666,4.04145188432738,3.1779999999999973
10,2022,4,AlphaTauri,12.0,17.0,80.732,9.0,13.0,0.0,1.938999999999993
11,2022,4,Red Bull Racing,2.0,7.0,79.296,2.0,4.0,1.7320508075688803,0.5030000000000001
14,2022,4,Alpine,20.0,5.0,79.595,17.0,7.333333333333333,4.041451884327383,0.8019999999999925
16,2022,4,Ferrari,6.0,2.0,78.796,1.0,8.666666666666666,9.865765724632492,0.0030000000000001137
18,2022,4,Aston Martin,10.0,15.0,80.342,12.0,10.0,8.717797887081346,1.5489999999999924
20,2022,4,Haas F1 Team,9.0,4.0,79.902,14.0,13.666666666666666,3.511884584284246,1.1089999999999947
22,2022,4,AlphaTauri,7.0,16.0,80.474,15.0,9.666666666666666,2.516611478423582,1.6809999999999974
23,2022,4,Williams,11.0,20.0,,10.0,13.333333333333334,5.859465277082315,
24,2022,4,Alfa Romeo,15.0,14.0,79.73,11.0,11.666666666666666,3.0550504633038926,0.9369999999999976
31,2022,4,Alpine,14.0,19.0,82.338,7.0,16.0,1.9999999999999978,3.5449999999999875
44,2022,4,Mercedes,13.0,13.0,80.47,4.0,9.666666666666666,9.291573243177568,1.6769999999999925
47,2022,4,Haas F1 Team,17.0,12.0,80.422,13.0,14.666666666666666,4.725815626252608,1.6289999999999907
55,2022,4,Ferrari,20.0,10.0,78.99,20.0,9.0,6.999999999999999,0.19699999999998852
63,2022,4,Mercedes,4.0,11.0,80.383,3.0,14.0,7.937253933193776,1.5899999999999892
77,2022,4,Alfa Romeo,5.0,8.0,80.192,8.0,11.0,3.0000000000000013,1.3989999999999867
1,2022,5,Red Bull Racing,1.0,3.0,88.991,1.0,3.0,2.645751311064598,2.1770000000000067
3,2022,5,McLaren,13.0,14.0,90.31,18.0,16.666666666666668,4.163331998932266,3.4960000000000093
4,2022,5,McLaren,20.0,8.0,89.634,3.0,5.666666666666667,3.055050463303896,2.8200000000000074
5,2022,5,Aston Martin,17.0,13.0,90.214,8.0,15.0,6.082762530298219,3.4000000000000057
6,2022,5,Williams,14.0,19.0,91.325,16.0,12.333333333333334,4.04145188432738,4.51100000000001
10,2022,5,AlphaTauri,20.0,7.0,89.69,12.0,12.333333333333334,4.725815626252606,2.8760000000000048
11,2022,5,Red Bull Racing,4.0,4.0,89.036,2.0,1.6666666666666667,0.5773502691896393,2.2220000000000084
14,2022,5,Alpine,11.0,11.0,90.16,20.0,8.333333333333334,5.859465277082316,3.3460000000000036
16,2022,5,Ferrari,2.0,1.0,88.796,6.0,3.6666666666666665,0.5773502691895896,1.9820000000000135
18,2022,5,Aston Martin,10.0,10.0,89.996,10.0,12.0,4.999999999999999,3.182000000000002
20,2022,5,Haas F1 Team,16.0,16.0,90.975,9.0,11.666666666666666,2.3094010767585034,4.161000000000001
22,2022,5,AlphaTauri,12.0,9.0,89.932,7.0,9.666666666666666,0.5773502691896194,3.118000000000009
23,2022,5,Williams,9.0,18.0,91.266,11.0,14.666666666666666,4.618802153517005,4.452000000000012
24,2022,5,Alfa Romeo,20.0,17.0,91.02,15.0,18.333333333333332,2.8867513459481278,4.206000000000003
31,2022,5,Alpine,8.0,20.0,,14.0,12.666666666666666,4.041451884327385,
44,2022,5,Mercedes,6.0,6.0,89.625,13.0,6.666666666666667,2.081665999466124,2.811000000000007
47,2022,5,Haas F1 Team,15.0,15.0,90.423,17.0,16.666666666666668,3.511884584284246,3.609000000000009
55,2022,5,Ferrari,3.0,2.0,88.986,20.0,9.333333333333334,9.291573243177568,2.1720000000000113
63,2022,5,Mercedes,5.0,12.0,90.173,4.0,5.666666666666667,3.214550253664313,3.359000000000009
77,2022,5,Alfa Romeo,7.0,5.0,89.475,5.0,12.333333333333334,6.658328118479393,2.6610000000000014
1,2022,6,Red Bull Racing,1.0,2.0,79.073,1.0,1.3333333333333333,0.5773502691896621,7.707999999999998
3,2022,6,McLaren,12.0,9.0,80.287,13.0,17.666666666666668,4.041451884327381,8.922000000000011
4,2022,6,McLaren,8.0,11.0,80.471,20.0,7.666666666666667,8.14452781524708,9.106000000000009
5,2022,6,Aston Martin,11.0,16.0,80.954,17.0,17.666666666666668,0.5773502691896163,9.588999999999999
6,2022,6,Williams,16.0,20.0,81.915,14.0,12.333333333333334,2.0816659994661304,10.550000000000011
10,2022,6,AlphaTauri,13.0,14.0,80.719,20.0,13.666666666666666,6.0277137733417065,9.354
11,2022,6,Red Bull Racing,2.0,5.0,79.42,4.0,3.0,1.0000000000000064,8.055000000000007
14,2022,6,Alpine,9.0,17.0,81.043,11.0,7.0,4.000000000000003,9.678000000000011
16,2022,6,Ferrari,20.0,1.0,78.75,2.0,4.666666666666667,2.0816659994661233,7.385000000000005
18,2022,6,Aston Martin,15.0,18.0,81.418,10.0,14.333333333333334,2.0816659994661304,10.053000000000011
20,2022,6,Haas F1 Team,17.0,8.0,79.682,16.0,14.0,3.4641016151377553,8.317000000000007
22,2022,6,AlphaTauri,10.0,13.0,80.639,12.0,17.0,5.196152422706631,9.274000000000001
