,DriverNumber,Season,RoundNumber,TeamName,Position,QualiPosition,FastestTime,LastFinish,RollingAverage3,RollingStd3,Delta
0,1,2025,1,Red Bull Racing,2.0,3.0,75.481,10.0,2.0,0.0,0.3849999999999909
1,1,2025,2,Red Bull Racing,4.0,4.0,90.817,2.0,2.0,0.0,0.1759999999999877
2,1,2025,3,Red Bull Racing,1.0,1.0,86.983,4.0,3.0,1.4142135623730951,0.0
3,1,2025,4,Red Bull Racing,6.0,7.0,90.423,1.0,2.333333333333333,1.5275252316519468,0.5820000000000078
4,1,2025,5,Red Bull Racing,2.0,1.0,87.294,6.0,3.6666666666666665,2.516611478423583,0.0
5,1,2025,6,Red Bull Racing,4.0,1.0,86.204,2.0,3.0,2.6457513110645907,0.0
6,1,2025,7,Red Bull Racing,1.0,2.0,74.704,4.0,4.0,2.0,0.0339999999999918
7,1,2025,8,Red Bull Racing,4.0,5.0,70.669,1.0,2.333333333333333,1.527525231651948,0.7150000000000034
8,1,2025,9,Red Bull Racing,10.0,3.0,71.848,4.0,3.0,1.7320508075688776,0.3019999999999925
9,1,2025,10,Red Bull Racing,2.0,2.0,71.059,10.0,5.0,4.582575694955839,0.1599999999999966
10,1,2025,11,Red Bull Racing,20.0,7.0,64.836,2.0,5.333333333333333,4.163331998932264,0.865000000000002
11,1,2025,12,Red Bull Racing,5.0,1.0,84.892,20.0,10.666666666666666,9.018499505645789,0.0
12,1,2025,13,Red Bull Racing,4.0,4.0,100.903,5.0,9.0,9.643650760992957,0.3410000000000082
13,1,2025,14,Red Bull Racing,9.0,8.0,75.547,4.0,9.666666666666666,8.9628864398325,0.6569999999999965
14,1,2025,15,Red Bull Racing,2.0,3.0,68.925,9.0,6.0,2.645751311064594,0.262999999999991
15,1,2025,16,Red Bull Racing,1.0,1.0,78.792,2.0,5.0,3.6055512754639927,0.0
16,1,2025,17,Red Bull Racing,1.0,1.0,101.117,1.0,4.0,4.3588989435406775,0.0
17,1,2025,18,Red Bull Racing,2.0,2.0,89.34,1.0,1.3333333333333333,0.57735026918967,0.1820000000000021
18,1,2025,19,Red Bull Racing,1.0,1.0,92.51,2.0,1.3333333333333333,0.57735026918967,0.0
19,1,2025,20,Red Bull Racing,3.0,5.0,76.07,1.0,1.3333333333333333,0.57735026918967,0.4839999999999946
20,1,2025,21,Red Bull Racing,3.0,16.0,70.403,3.0,2.0,1.0000000000000229,0.8920000000000101
21,1,2025,22,Red Bull Racing,1.0,2.0,108.257,3.0,2.333333333333333,1.15470053837927,0.3230000000000075
22,1,2025,23,Red Bull Racing,1.0,3.0,79.651,1.0,2.333333333333333,1.15470053837927,0.2639999999999958
23,1,2025,24,Red Bull Racing,1.0,1.0,82.207,1.0,1.6666666666666667,1.1547005383792728,0.0
24,4,2025,1,McLaren,1.0,1.0,75.096,10.0,1.0,0.0,0.0
25,4,2025,2,McLaren,2.0,3.0,90.787,1.0,1.0,0.0,0.1460000000000008
26,4,2025,3,McLaren,2.0,2.0,86.995,2.0,1.5,0.7071067811865476,0.0120000000000004
27,4,2025,4,McLaren,3.0,6.0,90.267,2.0,1.6666666666666667,0.5773502691896257,0.4260000000000019
28,4,2025,5,McLaren,4.0,10.0,87.481,3.0,2.333333333333333,0.5773502691896256,0.1869999999999976
29,4,2025,6,McLaren,2.0,2.0,86.269,4.0,3.0,1.0,0.0650000000000119
30,4,2025,7,McLaren,2.0,4.0,74.962,2.0,3.0,1.0,0.2920000000000016
31,4,2025,8,McLaren,1.0,1.0,69.954,2.0,2.6666666666666665,1.1547005383792517,0.0
32,4,2025,9,McLaren,2.0,2.0,71.755,1.0,1.6666666666666667,0.5773502691896253,0.2089999999999889
33,4,2025,10,McLaren,18.0,7.0,71.599,2.0,1.6666666666666667,0.5773502691896253,0.7000000000000028
34,4,2025,11,McLaren,1.0,1.0,63.971,18.0,7.0,9.539392014169456,0.0
35,4,2025,12,McLaren,1.0,3.0,85.01,1.0,7.0,9.539392014169456,0.1180000000000092
36,4,2025,13,McLaren,2.0,1.0,100.562,1.0,6.666666666666667,9.814954576223638,0.0
37,4,2025,14,McLaren,1.0,3.0,74.89,2.0,1.3333333333333333,0.577350269189614,0.0
38,4,2025,15,McLaren,18.0,2.0,68.674,1.0,1.3333333333333333,0.577350269189614,0.0120000000000004
39,4,2025,16,McLaren,2.0,2.0,78.869,18.0,7.0,9.539392014169456,0.0769999999999981
40,4,2025,17,McLaren,7.0,7.0,101.322,2.0,7.0,9.539392014169456,0.2049999999999983
