,DriverNumber,Season,RoundNumber,TeamName,Position,QualiPosition,FastestTime
0,1,2024,1,Red Bull Racing,1.0,1.0,89.179
1,2,2024,1,Williams,20.0,18.0,90.77
2,3,2024,1,RB,13.0,14.0,90.278
3,4,2024,1,McLaren,6.0,7.0,89.614
4,10,2024,1,Alpine,18.0,20.0,90.948
5,11,2024,1,Red Bull Racing,2.0,5.0,89.537
6,14,2024,1,Aston Martin,9.0,6.0,89.542
7,16,2024,1,Ferrari,4.0,2.0,89.165
8,18,2024,1,Aston Martin,10.0,12.0,89.965
9,20,2024,1,Haas F1 Team,12.0,15.0,90.529
10,22,2024,1,RB,14.0,11.0,90.129
11,23,2024,1,Williams,15.0,13.0,90.221
12,24,2024,1,Kick Sauber,11.0,17.0,90.757
13,27,2024,1,Haas F1 Team,16.0,10.0,89.851
14,31,2024,1,Alpine,17.0,19.0,90.793
15,44,2024,1,Mercedes,7.0,9.0,89.71
16,55,2024,1,Ferrari,3.0,4.0,89.507
17,63,2024,1,Mercedes,5.0,3.0,89.485
18,77,2024,1,Kick Sauber,19.0,16.0,90.756
19,81,2024,1,McLaren,8.0,8.0,89.683
20,1,2024,2,Red Bull Racing,1.0,1.0,87.472
21,2,2024,2,Williams,14.0,19.0,89.526
22,3,2024,2,RB,16.0,14.0,89.025
23,4,2024,2,McLaren,8.0,6.0,88.132
24,10,2024,2,Alpine,20.0,18.0,89.479
25,11,2024,2,Red Bull Racing,2.0,3.0,87.807
26,14,2024,2,Aston Martin,5.0,4.0,87.846
27,16,2024,2,Ferrari,3.0,2.0,87.791
28,18,2024,2,Aston Martin,20.0,10.0,88.25
29,20,2024,2,Haas F1 Team,12.0,13.0,89.02
30,22,2024,2,RB,15.0,9.0,88.547
31,23,2024,2,Williams,11.0,12.0,88.98
32,24,2024,2,Kick Sauber,18.0,20.0,
33,27,2024,2,Haas F1 Team,10.0,15.0,89.055
34,31,2024,2,Alpine,13.0,17.0,89.475
35,38,2024,2,Ferrari,7.0,11.0,88.642
36,44,2024,2,Mercedes,9.0,8.0,88.46
37,63,2024,2,Mercedes,6.0,7.0,88.316
38,77,2024,2,Kick Sauber,17.0,16.0,89.179
39,81,2024,2,McLaren,4.0,5.0,88.089
40,1,2024,3,Red Bull Racing,20.0,1.0,75.915
41,3,2024,3,RB,12.0,18.0,78.085
42,4,2024,3,McLaren,3.0,4.0,76.315
43,10,2024,3,Alpine,13.0,17.0,77.982
44,11,2024,3,Red Bull Racing,5.0,3.0,76.274
45,14,2024,3,Aston Martin,8.0,10.0,76.71
